custrefno,txnid,currstatuscode,txnamount,trndate,storeid,grefid,trnrefno,txncurrstatuscode,respCode,meraccno,mcc,txntype,payervpa,payeraccno,payerifsc,payeevpa,payeeifsc,pgmerchantId,orderNo,paytype,pyfname,drcrflag,acctype,purpose,umn,mndpattern
42793116215337,TXN11f77854d23d746819a34bdd7f39b2f7e,6010,21429.79,2025-06-15 14:11:00,6789,GREF123456,323701,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5198,PAY,abc_person@axl,87654321,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRPAY1032,P2M,Samay Raina,C,CREDIT,0,,
42793126215337,TXN12f77854d23d746819a34bdd7f39b2f7e,6010,22288.9,2025-06-15 14:12:00,7800,GREF123456,323702,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5995,PAY,abc_person@axl,100000021,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Vinkaj,D,CREDIT,1,,
42793136215337,TXN13f77854d23d746819a34bdd7f39b2f7e,6010,23369.32,2025-06-15 14:13:00,7800,GREF123456,323703,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5441,PAY,abc_person@axl,12345678,SBIN000116,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRPAY1111,P2M,Vinkaj,D,CREDIT,0,,
42793146215337,TXN14f77854d23d746819a34bdd7f39b2f7e,6010,23798.11,2025-06-15 14:14:00,6789,GREF123456,323704,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5533,PAY,samayraina@ibl,87654321,AIRP0001,teastall@axl,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Saurav G.,D,CREDIT,0,,
42793156215337,TXN15f77854d23d746819a34bdd7f39b2f7e,6010,24703.62,2025-06-15 14:15:00,6789,GREF123456,323705,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5571,PAY,abc_person@axl,87654321,YESB00001,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1032,P2M,Samay Raina,D,CREDIT,0,,
42793166215337,TXN16f77854d23d746819a34bdd7f39b2f7e,6010,26101.79,2025-06-15 14:16:00,7800,GREF123456,323706,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,1711,PAY,abc_person@axl,100000021,YESB00001,vinayak@ybiz,YESB0MGSUPI,YBL00001,AIRPAY1032,P2M,Saurav G.,C,SAVINGS,1,,
42793176215337,TXN17f77854d23d746819a34bdd7f39b2f7e,6010,27459.67,2025-06-15 14:17:00,1234,GREF123456,323707,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5310,PAY,abc_person@axl,100000021,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00003,AIRP2222,P2M,Vinkaj,C,CREDIT,0,,
42793186215337,TXN18f77854d23d746819a34bdd7f39b2f7e,6010,28190.12,2025-06-15 14:18:00,6789,GREF123456,323708,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,4814,PAY,99999852@ybl,12345678,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Vinkaj,C,CREDIT,0,,
42793196215337,TXN19f77854d23d746819a34bdd7f39b2f7e,6010,29297.76,2025-06-15 14:19:00,1234,GREF123456,323709,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7012,PAY,99999852@ybl,87654321,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00001,AIRPAY1032,P2M,Samay Raina,D,CREDIT,1,,
42793206215337,TXN20f77854d23d746819a34bdd7f39b2f7e,6010,29821.25,2025-06-15 14:20:00,7800,GREF123456,323710,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,9405,PAY,samayraina@ibl,12345678,YESB00001,teastall@axl,YESB0MGSUPI,YBL00001,AIRP2222,P2M,Vinkaj,C,CREDIT,1,,
42793216215337,TXN21f77854d23d746819a34bdd7f39b2f7e,6010,31118.65,2025-06-15 14:21:00,1415,GREF123456,323711,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7394,PAY,99999852@ybl,87654321,YESB00001,teastall@axl,YESB0MGSUPI,YBL00003,AIRP2222,P2M,Saurav G.,C,CREDIT,0,,
42793226215337,TXN22f77854d23d746819a34bdd7f39b2f7e,6010,31946.89,2025-06-15 14:22:00,1415,GREF123456,323712,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5532,PAY,abc_person@axl,87654321,YESB00001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Vinkaj,C,SAVINGS,1,,
42793236215337,TXN23f77854d23d746819a34bdd7f39b2f7e,6010,33142.57,2025-06-15 14:23:00,1415,GREF123456,323713,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5735,PAY,99999852@ybl,100000021,SBIN000116,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRP2222,P2M,Saurav G.,D,CREDIT,0,,
42793246215337,TXN24f77854d23d746819a34bdd7f39b2f7e,6010,34445.01,2025-06-15 14:24:00,6789,GREF123456,323714,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,4812,PAY,99999852@ybl,87654321,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Saurav G.,C,SAVINGS,0,,
42793256215337,TXN25f77854d23d746819a34bdd7f39b2f7e,6010,35084.42,2025-06-15 14:25:00,6789,GREF123456,323715,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5422,PAY,abc_person@axl,12345678,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1111,P2M,Samay Raina,D,SAVINGS,0,,
42793266215337,TXN26f77854d23d746819a34bdd7f39b2f7e,6010,35955.42,2025-06-15 14:26:00,6789,GREF123456,323716,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7251,PAY,99999852@ybl,12345678,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1032,P2M,Vinkaj,C,CREDIT,1,,
42793276215337,TXN27f77854d23d746819a34bdd7f39b2f7e,6010,37361.38,2025-06-15 14:27:00,1234,GREF123456,323717,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5331,PAY,abc_person@axl,12345678,YESB00001,teastall@axl,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Saurav G.,D,SAVINGS,1,,
42793286215337,TXN28f77854d23d746819a34bdd7f39b2f7e,6010,37605.85,2025-06-15 14:28:00,1234,GREF123456,323718,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7641,PAY,abc_person@axl,100000021,YESB00001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Samay Raina,C,CREDIT,0,,
42793296215337,TXN29f77854d23d746819a34bdd7f39b2f7e,6010,38973.51,2025-06-15 14:29:00,1415,GREF123456,323719,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5065,PAY,abc_person@axl,100000021,SBIN000116,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRP2222,P2M,Vinkaj,C,SAVINGS,0,,
42793306215337,TXN30f77854d23d746819a34bdd7f39b2f7e,6010,39875.07,2025-06-15 14:30:00,6789,GREF123456,323720,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5944,PAY,samayraina@ibl,87654321,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Samay Raina,C,CREDIT,0,,
42793316215337,TXN31f77854d23d746819a34bdd7f39b2f7e,6010,40653.49,2025-06-15 14:31:00,1234,GREF123456,323721,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5172,PAY,99999852@ybl,12345678,SBIN000116,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Saurav G.,C,CREDIT,1,,
42793326215337,TXN32f77854d23d746819a34bdd7f39b2f7e,6010,42035.8,2025-06-15 14:32:00,7800,GREF123456,323722,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,8249,PAY,99999852@ybl,87654321,YESB00001,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Saurav G.,D,CREDIT,0,,
42793336215337,TXN33f77854d23d746819a34bdd7f39b2f7e,6010,43261.07,2025-06-15 14:33:00,1415,GREF123456,323723,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,9400,PAY,99999852@ybl,87654321,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Saurav G.,C,CREDIT,0,,
42793346215337,TXN34f77854d23d746819a34bdd7f39b2f7e,6010,44136.05,2025-06-15 14:34:00,6789,GREF123456,323724,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5611,PAY,abc_person@axl,12345678,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Vinkaj,C,SAVINGS,1,,
42793356215337,TXN35f77854d23d746819a34bdd7f39b2f7e,6010,44621.56,2025-06-15 14:35:00,1234,GREF123456,323725,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7999,PAY,samayraina@ibl,87654321,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRPAY1111,P2M,Samay Raina,C,CREDIT,1,,
42793366215337,TXN36f77854d23d746819a34bdd7f39b2f7e,6010,46448.97,2025-06-15 14:36:00,6789,GREF123456,323726,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,1520,PAY,abc_person@axl,100000021,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Samay Raina,C,CREDIT,1,,
42793376215337,TXN37f77854d23d746819a34bdd7f39b2f7e,6010,46961.25,2025-06-15 14:37:00,1415,GREF123456,323727,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5626,PAY,99999852@ybl,87654321,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Samay Raina,C,CREDIT,1,,
42793386215337,TXN38f77854d23d746819a34bdd7f39b2f7e,6010,47685.74,2025-06-15 14:38:00,1415,GREF123456,323728,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7409,PAY,abc_person@axl,100000021,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Vinkaj,D,SAVINGS,1,,
42793396215337,TXN39f77854d23d746819a34bdd7f39b2f7e,6010,49004.81,2025-06-15 14:39:00,1415,GREF123456,323729,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5085,PAY,samayraina@ibl,12345678,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Saurav G.,C,CREDIT,1,,
42793406215337,TXN40f77854d23d746819a34bdd7f39b2f7e,6010,49648.67,2025-06-15 14:40:00,6789,GREF123456,323730,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,820,PAY,abc_person@axl,87654321,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Vinkaj,D,CREDIT,1,,
42793416215337,TXN41f77854d23d746819a34bdd7f39b2f7e,6010,51419.3,2025-06-15 14:41:00,1234,GREF123456,323731,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5169,PAY,samayraina@ibl,87654321,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Vinkaj,D,SAVINGS,0,,
42793426215337,TXN42f77854d23d746819a34bdd7f39b2f7e,6010,52487.35,2025-06-15 14:42:00,7800,GREF123456,323732,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7295,PAY,samayraina@ibl,87654321,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1111,P2M,Samay Raina,D,CREDIT,1,,
42793436215337,TXN43f77854d23d746819a34bdd7f39b2f7e,6010,52796.4,2025-06-15 14:43:00,7800,GREF123456,323733,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5299,PAY,abc_person@axl,12345678,SBIN000116,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Saurav G.,D,CREDIT,1,,
42793446215337,TXN44f77854d23d746819a34bdd7f39b2f7e,6010,54244.99,2025-06-15 14:44:00,1415,GREF123456,323734,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7542,PAY,abc_person@axl,12345678,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00003,AIRPAY1032,P2M,Samay Raina,C,SAVINGS,1,,
42793456215337,TXN45f77854d23d746819a34bdd7f39b2f7e,6010,55199.67,2025-06-15 14:45:00,7414,GREF123456,323735,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5815,PAY,abc_person@axl,12345678,SBIN000116,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Saurav G.,C,CREDIT,1,,
42793466215337,TXN46f77854d23d746819a34bdd7f39b2f7e,6010,56105.32,2025-06-15 14:46:00,7800,GREF123456,323736,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5571,PAY,abc_person@axl,12345678,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Saurav G.,D,CREDIT,1,,
42793476215337,TXN47f77854d23d746819a34bdd7f39b2f7e,6010,57120.52,2025-06-15 14:47:00,6789,GREF123456,323737,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,8050,PAY,99999852@ybl,87654321,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Samay Raina,D,SAVINGS,0,,
42793486215337,TXN48f77854d23d746819a34bdd7f39b2f7e,6010,57643.15,2025-06-15 14:48:00,6789,GREF123456,323738,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7692,PAY,abc_person@axl,87654321,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Saurav G.,D,SAVINGS,0,,
42793496215337,TXN49f77854d23d746819a34bdd7f39b2f7e,6010,58942.64,2025-06-15 14:49:00,7800,GREF123456,323739,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7991,PAY,samayraina@ibl,12345678,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Saurav G.,C,SAVINGS,1,,
42793506215337,TXN50f77854d23d746819a34bdd7f39b2f7e,6010,59901.42,2025-06-15 14:50:00,1415,GREF123456,323740,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5532,PAY,99999852@ybl,100000021,AIRP0001,teastall@axl,YESB0MGSUPI,YBL00003,AIRPAY1032,P2M,Saurav G.,D,SAVINGS,1,,
42793516215337,TXN51f77854d23d746819a34bdd7f39b2f7e,6010,60799,2025-06-15 14:51:00,7414,GREF123456,323741,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,4784,PAY,abc_person@axl,87654321,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Samay Raina,D,CREDIT,1,,
42793526215337,TXN52f77854d23d746819a34bdd7f39b2f7e,6010,62460.84,2025-06-15 14:52:00,7414,GREF123456,323742,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7538,PAY,abc_person@axl,12345678,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00002,AIRPAY1111,P2M,Samay Raina,D,CREDIT,0,,
42793536215337,TXN53f77854d23d746819a34bdd7f39b2f7e,6010,62617.6,2025-06-15 14:53:00,7800,GREF123456,323743,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7394,PAY,99999852@ybl,12345678,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRP2222,P2M,Vinkaj,D,CREDIT,0,,
42793546215337,TXN54f77854d23d746819a34bdd7f39b2f7e,6010,63608.09,2025-06-15 14:54:00,1234,GREF123456,323744,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5413,PAY,abc_person@axl,100000021,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Samay Raina,C,SAVINGS,1,,
42793556215337,TXN55f77854d23d746819a34bdd7f39b2f7e,6010,64975.58,2025-06-15 14:55:00,7414,GREF123456,323745,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7251,PAY,99999852@ybl,87654321,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00001,AIRPAY1032,P2M,Saurav G.,D,CREDIT,1,,
42793566215337,TXN56f77854d23d746819a34bdd7f39b2f7e,6010,66271.91,2025-06-15 14:56:00,7414,GREF123456,323746,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7372,PAY,abc_person@axl,100000021,SBIN000116,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Samay Raina,D,SAVINGS,0,,
42793576215337,TXN57f77854d23d746819a34bdd7f39b2f7e,6010,67019.38,2025-06-15 14:57:00,6789,GREF123456,323747,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5261,PAY,abc_person@axl,87654321,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00003,AIRP2222,P2M,Samay Raina,D,CREDIT,1,,
42793586215337,TXN58f77854d23d746819a34bdd7f39b2f7e,6010,67540.25,2025-06-15 14:58:00,7800,GREF123456,323748,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7361,PAY,99999852@ybl,12345678,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00003,AIRPAY1111,P2M,Saurav G.,C,CREDIT,0,,
42793596215337,TXN59f77854d23d746819a34bdd7f39b2f7e,6010,68734.19,2025-06-15 14:59:00,1234,GREF123456,323749,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,824,PAY,99999852@ybl,100000021,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00003,AIRP2222,P2M,Samay Raina,C,SAVINGS,1,,
42793606215337,TXN60f77854d23d746819a34bdd7f39b2f7e,6010,69910.31,2025-06-15 14:00:00,7800,GREF123456,323750,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5992,PAY,99999852@ybl,87654321,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00003,AIRPAY1032,P2M,Vinkaj,C,SAVINGS,0,,
42793616215337,TXN61f77854d23d746819a34bdd7f39b2f7e,6010,71248.38,2025-06-15 14:01:00,7800,GREF123456,323751,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7394,PAY,abc_person@axl,12345678,AIRP0001,teastall@axl,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Saurav G.,C,CREDIT,0,,
42793626215337,TXN62f77854d23d746819a34bdd7f39b2f7e,6010,72492.61,2025-06-15 14:02:00,1415,GREF123456,323752,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5942,PAY,samayraina@ibl,12345678,YESB00001,teastall@axl,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Samay Raina,D,SAVINGS,1,,
42793636215337,TXN63f77854d23d746819a34bdd7f39b2f7e,6010,73218.8,2025-06-15 14:03:00,7800,GREF123456,323753,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5631,PAY,99999852@ybl,87654321,AIRP0001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00003,AIRP2222,P2M,Vinkaj,D,CREDIT,1,,
42793646215337,TXN64f77854d23d746819a34bdd7f39b2f7e,6010,73612.05,2025-06-15 14:04:00,7800,GREF123456,323754,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7929,PAY,99999852@ybl,12345678,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00001,AIRPAY1032,P2M,Samay Raina,D,CREDIT,0,,
42793656215337,TXN65f77854d23d746819a34bdd7f39b2f7e,6010,74968.66,2025-06-15 14:05:00,1415,GREF123456,323755,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5698,PAY,99999852@ybl,12345678,YESB00001,teastall@axl,YESB0MGSUPI,YBL00001,AIRPAY1111,P2M,Vinkaj,D,CREDIT,1,,
42793666215337,TXN66f77854d23d746819a34bdd7f39b2f7e,6010,75974.65,2025-06-15 14:06:00,6789,GREF123456,323756,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,7375,PAY,abc_person@axl,12345678,YESB00001,techwisecollege@ypbiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Samay Raina,D,CREDIT,0,,
42793676215337,TXN67f77854d23d746819a34bdd7f39b2f7e,6010,77024.67,2025-06-15 14:07:00,7414,GREF123456,323757,2220,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5812,PAY,99999852@ybl,12345678,AIRP0001,vinayak@ybiz,YESB0MGSUPI,YBL00002,AIRPAY1032,P2M,Samay Raina,D,SAVINGS,0,,
42793686215337,TXN68f77854d23d746819a34bdd7f39b2f7e,6010,77607.63,2025-06-15 14:08:00,1234,GREF123456,323758,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5199,PAY,abc_person@axl,100000021,SBIN000116,teastall@axl,YESB0MGSUPI,YBL00003,AIRPAY1032,P2M,Vinkaj,D,SAVINGS,0,,
42793696215337,TXN69f77854d23d746819a34bdd7f39b2f7e,6010,79343.07,2025-06-15 14:09:00,1415,GREF123456,323759,2230,0,B9A33C7DECC3B776E29FE990E841157B422A7DDB2374439BFE56B797A00B5A,5441,PAY,abc_person@axl,87654321,AIRP0001,teastall@axl,YESB0MGSUPI,YBL00002,AIRP2222,P2M,Samay Raina,C,CREDIT,1,,
